word	hsk_level	n_sentences
的	1	21803
我	1	21160
了	1	14692
你	1	11967
他	1	9629
是	1	7422
在	1	7251
她	1	4963
吗	1	4856
我们	1	4496
有	1	3274
很	1	2950
不	1	2472
去	1	2396
这	1	2362
什么	1	2282
说	1	2085
都	1	1990
这个	1	1891
做	1	1885
会	1	1879
和	1	1850
喜欢	1	1819
他们	1	1772
想	1	1651
给	1	1640
要	1	1591
人	1	1353
对	1	1348
上	1	1246
可以	1	1211
来	1	1193
吃	1	1126
也	1	1116
好	1	1083
时候	1	1076
能	1	1075
知道	1	1066
请	1	1045
里	1	979
个	1	964
工作	1	953
那	1	939
您	1	931
吧	1	909
现在	1	845
还	1	819
今天	1	806
到	1	804
不要	1	783
买	1	767
这里	1	765
看	1	752
谁	1	718
怎么	1	671
事	1	654
它	1	652
那个	1	641
觉得	1	589
问题	1	587
你们	1	584
明天	1	552
呢	1	540
非常	1	534
东西	1	524
朋友	1	519
住	1	511
哪里	1	508
昨天	1	504
时间	1	480
多	1	469
再	1	454
钱	1	441
正在	1	430
房间	1	425
一下	1	412
这些	1	411
写	1	397
学校	1	385
老师	1	362
孩子	1	359
叫	1	356
新	1	353
听	1	341
学习	1	341
书	1	322
只	1	321
大	1	313
一些	1	308
说话	1	305
学生	1	305
爱	1	303
狗	1	303
那里	1	294
后	1	289
一	1	285
太	1	279
下	1	274
问	1	264
火车	1	263
前	1	263
名字	1	258
认识	1	258
早上	1	256
妈妈	1	249
找	1	248
天气	1	245
小时	1	245
睡觉	1	239
车	1	236
点	1	230
猫	1	229
大家	1	228
多少	1	224
中国	1	224
电影	1	218
喝	1	212
这儿	1	212
下雨	1	210
高兴	1	209
爸爸	1	207
见	1	206
儿子	1	205
哪	1	203
医生	1	202
哪儿	1	200
看见	1	199
打电话	1	198
真	1	190
怎么样	1	189
上学	1	185
家	1	182
苹果	1	181
忙	1	180
漂亮	1	173
月	1	173
电脑	1	171
公司	1	171
睡	1	171
穿	1	163
晚上	1	163
衣服	1	163
小	1	161
年	1	160
电话	1	159
有些	1	155
读	1	154
玩	1	154
学	1	149
开车	1	147
水	1	146
谢谢	1	145
妹妹	1	137
冷	1	136
桌子	1	136
那些	1	134
起床	1	129
弟弟	1	128
飞机	1	124
哥哥	1	124
去年	1	124
那儿	1	121
先生	1	120
休息	1	119
开	1	116
电视	1	111
请问	1	111
坐	1	111
女儿	1	110
热	1	108
下午	1	105
中文	1	104
读书	1	102
早	1	101
茶	1	100
医院	1	100
牛奶	1	97
些	1	94
卖	1	89
对不起	1	87
椅子	1	87
大学	1	86
哪个	1	86
